id,time,space
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,2,1
18,2,2
19,2,3
20,2,4
21,2,5
22,2,6
23,2,7
24,2,8
25,2,9
26,2,10
27,2,11
28,2,12
29,2,13
30,2,14
31,2,15
32,2,16
33,3,1
34,3,2
35,3,3
36,3,4
37,3,5
38,3,6
39,3,7
40,3,8
41,3,9
42,3,10
43,3,11
44,3,12
45,3,13
46,3,14
47,3,15
48,3,16
49,4,1
50,4,2
51,4,3
52,4,4
53,4,5
54,4,6
55,4,7
56,4,8
57,4,9
58,4,10
59,4,11
60,4,12
61,4,13
62,4,14
63,4,15
64,4,16
65,5,1
66,5,2
67,5,3
68,5,4
69,5,5
70,5,6
71,5,7
72,5,8
73,5,9
74,5,10
75,5,11
76,5,12
77,5,13
78,5,14
79,5,15
80,5,16
81,6,1
82,6,2
83,6,3
84,6,4
85,6,5
86,6,6
87,6,7
88,6,8
89,6,9
90,6,10
91,6,11
92,6,12
93,6,13
94,6,14
95,6,15
96,6,16
97,7,1
98,7,2
99,7,3
100,7,4
101,7,5
102,7,6
103,7,7
104,7,8
105,7,9
106,7,10
107,7,11
108,7,12
109,7,13
110,7,14
111,7,15
112,7,16
113,8,1
114,8,2
115,8,3
116,8,4
117,8,5
118,8,6
119,8,7
120,8,8
121,8,9
122,8,10
123,8,11
124,8,12
125,8,13
126,8,14
127,8,15
128,8,16
129,9,1
130,9,2
131,9,3
132,9,4
133,9,5
134,9,6
135,9,7
136,9,8
137,9,9
138,9,10
139,9,11
140,9,12
141,9,13
142,9,14
143,9,15
144,9,16
145,10,1
146,10,2
147,10,3
148,10,4
149,10,5
150,10,6
151,10,7
152,10,8
153,10,9
154,10,10
155,10,11
156,10,12
157,10,13
158,10,14
159,10,15
160,10,16
161,11,1
162,11,2
163,11,3
164,11,4
165,11,5
166,11,6
167,11,7
168,11,8
169,11,9
170,11,10
171,11,11
172,11,12
173,11,13
174,11,14
175,11,15
176,11,16
177,12,1
178,12,2
179,12,3
180,12,4
181,12,5
182,12,6
183,12,7
184,12,8
185,12,9
186,12,10
187,12,11
188,12,12
189,12,13
190,12,14
191,12,15
192,12,16
193,13,1
194,13,2
195,13,3
196,13,4
197,13,5
198,13,6
199,13,7
200,13,8
201,13,9
202,13,10
203,13,11
204,13,12
205,13,13
206,13,14
207,13,15
208,13,16
209,14,1
210,14,2
211,14,3
212,14,4
213,14,5
214,14,6
215,14,7
216,14,8
217,14,9
218,14,10
219,14,11
220,14,12
221,14,13
222,14,14
223,14,15
224,14,16
225,15,1
226,15,2
227,15,3
228,15,4
229,15,5
230,15,6
231,15,7
232,15,8
233,15,9
234,15,10
235,15,11
236,15,12
237,15,13
238,15,14
239,15,15
240,15,16
241,16,1
242,16,2
243,16,3
244,16,4
245,16,5
246,16,6
247,16,7
248,16,8
249,16,9
250,16,10
251,16,11
252,16,12
253,16,13
254,16,14
255,16,15
256,16,16
